,Date,Open,High,Low,Close,Volume,SMA,RSI,EMA
0,03-01-2017,32.5815,32.5815,32.5815,32.5815,700,0.0,0.0,32.5815
1,04-01-2017,37.4022,37.4022,37.4022,37.4022,8868,0.0,100.0,35.25966666666667
2,05-01-2017,42.971000000000004,42.971000000000004,38.2334,40.9762,764180,0.0,100.0,37.60250819672131
3,06-01-2017,43.3866,43.3866,36.5711,36.5711,250926,0.0,62.921401537315326,37.25311517615176
4,09-01-2017,38.3997,38.3997,34.0776,34.7425,159553,0.0,53.974731374845675,36.50626392194193
5,10-01-2017,34.7425,36.6542,32.6646,35.7399,129615,0.0,57.52251530823532,36.29853669008587
6,11-01-2017,35.1581,36.5711,34.9087,36.1555,91056,0.0,58.94269130166534,36.2623379196968
7,12-01-2017,35.9062,36.1555,35.3243,35.3243,113008,0.0,54.98329633205743,36.03690976778667
8,13-01-2017,35.2412,35.4074,34.9087,35.075,168714,36.06313333333333,53.81565641199085,35.81470383936898
9,16-01-2017,34.9088,34.9088,33.3296,34.0776,111337,36.229366666666664,49.304418118604275,35.425491740610845
10,17-01-2017,33.662,33.8283,32.8309,33.1633,163282,35.75837777777778,45.536104495050566,34.93053711378418
11,18-01-2017,32.8308,33.1633,31.5841,32.4153,115276,34.80716666666667,42.66325576421599,34.390369666714925
12,19-01-2017,32.2491,32.8309,31.8335,32.4153,67936,34.34541111111111,42.66325576421599,33.97237630531217
13,20-01-2017,31.9997,32.2491,31.4179,31.6672,172546,34.00371111111111,39.754104630333906,33.490131702312524
14,23-01-2017,31.5841,31.7503,31.4179,31.6672,95764,33.55118888888889,39.75410463033391,33.11224982528299
15,24-01-2017,31.5841,31.9997,31.5841,31.8335,92226,33.07096666666666,40.79491888347862,32.849092644081395
16,25-01-2017,31.6673,32.166,31.5842,31.9997,144059,32.701566666666665,41.87567363592004,32.675300667868555
17,02-02-2017,32.4153,32.4984,31.6672,32.3322,35528,32.39681111111111,44.07514520324481,32.605421706843515
18,03-02-2017,32.6647,32.914,32.0829,32.1659,191300,32.184400000000004,43.19475198747338,32.51623200642985
19,06-02-2017,32.4152,32.4152,31.8334,32.0828,86780,32.06434444444445,42.735380570208996,32.428534521986734
20,07-02-2017,31.9997,31.9997,31.5841,31.7503,131437,31.990455555555556,40.862816891449604,32.29162484873757
21,08-02-2017,31.5841,32.5815,31.5841,32.249,95870,31.97197777777778,44.77161941836123,32.28303650822226
22,09-02-2017,32.3321,32.3321,31.9997,32.1659,76107,32.0273888888889,44.24679831946148,32.259470095028064
23,10-02-2017,32.1659,35.7399,32.1659,35.6568,440047,32.47067777777779,63.56737294305966,32.942159987890705
24,13-02-2017,35.7399,37.236,35.3243,36.6542,281767,33.00631111111112,67.07776903965753,33.68738336462982
25,14-02-2017,36.7373,36.9867,35.1581,35.1581,239390,33.35724444444445,58.04346130029949,33.98241838032426
26,15-02-2017,34.9919,35.4906,34.3269,34.4932,364184,33.59735555555556,54.528502533353944,34.08482230174869
27,16-02-2017,34.5763,34.5763,32.7478,32.9971,583476,33.68971111111111,47.55078203482276,33.86685623370702
28,17-02-2017,32.6646,32.9971,32.3322,32.8309,765046,33.77283333333333,46.8338061771179,33.65934387714707
29,20-02-2017,33.3296,35.2413,32.8309,34.8256,2727835,34.114533333333334,55.50517440294448,33.89288421064729
30,21-02-2017,35.7399,35.7399,33.7451,33.9945,419088,34.308477777777775,51.720121345219475,33.91322751555116
31,22-02-2017,34.1607,34.1607,32.9971,33.4958,484550,34.456244444444444,49.537187304508365,33.8296758159646
32,23-02-2017,33.1633,33.1633,28.5088,29.8387,5427447,33.809788888888896,37.15322231663594,33.030974415616896
33,24-02-2017,30.5867,30.5867,26.0154,27.4283,6416518,32.784688888888894,31.554087077278737,31.909871065559674
34,27-02-2017,27.4283,31.2516,27.4283,31.2516,6787409,32.350633333333334,45.566801388271756,31.778163425481658
35,28-02-2017,33.2464,33.2464,27.4283,29.0906,4390004,31.750344444444448,40.5176326627083,31.24047625092112
36,01-03-2017,29.0906,29.6724,28.3426,28.9244,2181891,31.297822222222223,40.14915708579709,30.777140711953724
37,02-03-2017,29.0906,29.5893,28.4257,28.8413,1199643,30.854533333333336,39.95350960188057,30.389892141181477
38,03-03-2017,29.0075,29.7556,27.6777,28.2595,1844220,30.12496666666667,38.53758632199442,29.963742906758586
39,06-03-2017,28.2595,28.3426,26.8465,26.9296,2226822,29.339977777777776,35.445341277089256,29.35683365332981
40,07-03-2017,26.8465,28.675,25.3504,26.9296,1606464,28.610400000000002,35.445341277089256,28.871335295623137
41,08-03-2017,26.8465,28.2595,26.5971,27.8439,850130,28.388755555555562,39.32705554552602,28.66583075410556
42,09-03-2017,27.8439,28.1764,27.0959,27.2621,697404,28.370288888888894,37.77065914118583,28.38506549539109
43,10-03-2017,27.0959,27.4283,26.5141,26.7634,1113605,27.871600000000008,36.43943626664474,28.060714736977864
44,13-03-2017,26.7634,26.7634,25.9322,26.0153,1126914,27.529900000000012,34.476422386568046,27.651613970730835
45,14-03-2017,26.0984,26.1815,25.2673,25.4335,1815647,27.14202222222223,32.988064735077245,27.20797571804774
46,15-03-2017,25.5166,25.5997,24.2699,24.6855,1514931,26.680266666666675,31.127511591222685,26.70346651077409
47,16-03-2017,24.1037,25.6829,24.1037,25.5998,837681,26.384744444444454,35.88743739146467,26.482728285992366
48,17-03-2017,25.5167,26.3478,25.3505,25.6829,888349,26.246222222222237,36.31822830367154,26.32275977486029
49,20-03-2017,25.9322,25.9322,25.1011,25.6829,722569,26.107700000000015,36.31822830367154,26.194785993385388
50,21-03-2017,25.4336,26.0154,25.3504,25.6829,707840,25.867588888888907,36.31822830367155,26.092407625753996
51,22-03-2017,25.6829,26.0154,25.4336,25.5166,801100,25.673644444444463,35.718354202725976,25.977245048663853
52,23-03-2017,25.5997,25.9322,24.9348,25.2673,723036,25.507411111111132,34.79064336461819,25.835255001337647
